Date,No.,Soup,Noodle,Spring onion,Nori,Chashu,Egg,Spiciness,Extra Egg,Bamboo Shoots,Extra Nori,Extra Chashu,Eat-in,Total Price,Use Stamp
2020/4/1,1,Shoyu,Medium,Little,TRUE,TRUE,FALSE,5,0,1,1,0,FALSE,11.9,FALSE
2020/4/1,2,Shio,Soft,Lot,FALSE,TRUE,FALSE,5,0,1,0,3,TRUE,16.9,FALSE
2020/4/1,3,Shoyu,Medium,Little,TRUE,TRUE,FALSE,2,0,0,3,1,FALSE,14.9,FALSE
2020/4/2,1,Shoyu,Firm,Little,TRUE,TRUE,TRUE,2,1,0,3,1,TRUE,15.9,FALSE
2020/4/2,2,Tonkotsu,Medium,Lot,TRUE,TRUE,FALSE,2,0,0,3,1,FALSE,14.9,FALSE
2020/4/3,1,Tonkotsu,Firm,No,TRUE,FALSE,FALSE,2,0,2,3,0,FALSE,14.9,FALSE
2020/4/3,2,Shoyu,Medium,Lot,TRUE,FALSE,FALSE,2,0,2,3,0,TRUE,14.9,FALSE
2020/4/3,3,Tonkotsu,Medium,No,TRUE,TRUE,TRUE,2,1,1,0,1,TRUE,13.9,FALSE
2020/4/3,4,Shoyu,Soft,Little,TRUE,TRUE,TRUE,0,0,0,0,0,TRUE,9.9,FALSE
2020/4/3,5,Shio,Soft,Lot,FALSE,TRUE,TRUE,0,0,1,0,0,TRUE,10.9,FALSE
2020/4/3,6,Tonkotsu,Soft,No,TRUE,TRUE,TRUE,1,0,0,0,0,TRUE,9.9,FALSE
2020/4/3,7,Tonkotsu,Soft,No,TRUE,TRUE,TRUE,1,0,0,0,0,TRUE,9.9,FALSE
2020/4/3,8,Shoyu,Medium,Little,FALSE,TRUE,FALSE,3,0,1,0,0,FALSE,10.9,FALSE
2020/4/4,1,Shoyu,Medium,Lot,TRUE,TRUE,FALSE,5,0,1,1,0,TRUE,11.9,FALSE
2020/4/4,2,Shio,Soft,Lot,TRUE,TRUE,TRUE,4,1,1,1,1,TRUE,14.9,FALSE
2020/4/4,3,Tonkotsu,Soft,No,TRUE,TRUE,TRUE,0,1,1,1,1,FALSE,14.9,FALSE
2020/4/10,1,null,null,null,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE,0,FALSE
2020/4/16,1,Tonkostu,Medium,Little,TRUE,TRUE,TRUE,2,0,0,0,0,FALSE,9.9,FALSE
2020/4/16,2,Shoyu,Medium,Little,FALSE,TRUE,FALSE,2,0,0,0,0,FALSE,9.9,TRUE
2020/4/16,3,Shoyu,Medium,Little,TRUE,TRUE,TRUE,2,0,1,1,0,FALSE,11.9,FALSE
2020/4/16,4,Shoyu,Medium,Little,TRUE,TRUE,TRUE,2,0,1,0,0,TRUE,10.9,FALSE
2020/4/16,5,Shoyu,Medium,Little,TRUE,TRUE,TRUE,4,0,0,0,0,TRUE,9.9,FALSE
2020/4/16,6,Shoyu,Medium,Little,TRUE,TRUE,TRUE,2,0,0,0,0,TRUE,9.9,FALSE
2020/4/16,7,Shoyu,Medium,Little,TRUE,TRUE,TRUE,3,1,1,0,0,FALSE,11.9,FALSE
2020/4/16,8,Shio,Medium,Little,TRUE,TRUE,TRUE,1,0,0,0,0,FALSE,9.9,FALSE
2020/4/17,1,Shoyu,Medium,Little,TRUE,TRUE,TRUE,2,0,0,0,0,TRUE,9.9,FALSE
2020/4/17,2,Shoyu,Medium,Little,TRUE,TRUE,TRUE,2,0,0,0,0,TRUE,9.9,FALSE
2020/4/23,1,Shoyu,Soft,No,TRUE,TRUE,TRUE,4,0,0,1,0,TRUE,10.9,FALSE
2020/4/24,1,Shio,Medium,Little,TRUE,TRUE,TRUE,4,0,0,0,0,FALSE,9.9,FALSE
2020/4/24,2,Tonkostu,Medium,Little,TRUE,TRUE,TRUE,1,0,1,0,0,TRUE,10.9,FALSE
2020/4/24,3,Shoyu,Medium,Lot,TRUE,TRUE,TRUE,1,0,0,0,0,TRUE,9.9,FALSE
2020/4/24,4,Shio,Medium,Little,TRUE,TRUE,TRUE,3,1,1,1,2,FALSE,16.9,FALSE
2020/4/24,5,Shio,Medium,Little,FALSE,TRUE,TRUE,1,1,2,0,0,FALSE,12.9,FALSE
2020/4/24,6,Shoyu,Medium,Little,FALSE,TRUE,FALSE,2,0,6,0,1,FALSE,17.9,FALSE
2020/4/30,1,Tonkotsu,Medium,Little,TRUE,TRUE,TRUE,1,0,0,0,0,FALSE,9.9,FALSE
2020/4/30,2,Shoyu,Medium,Little,TRUE,TRUE,TRUE,1,0,0,1,0,FALSE,10.9,FALSE
2020/4/30,3,Shoyu,Medium,Little,TRUE,TRUE,TRUE,4,0,0,0,0,TRUE,9.9,FALSE
2020/4/30,4,Shio,Firm,Little,FALSE,TRUE,TRUE,5,1,3,0,1,TRUE,15.9,FALSE
2020/4/30,5,Shoyu,Medium,No,FALSE,TRUE,FALSE,1,0,0,0,4,FALSE,17.9,TRUE
2020/4/30,6,Tonkotsu,Medium,Lot,TRUE,TRUE,TRUE,4,0,1,1,1,TRUE,13.9,FALSE
2020/4/30,7,Shoyu,Medium,Little,FALSE,TRUE,TRUE,1,1,1,0,1,FALSE,13.9,FALSE
2020/4/30,8,Tonkotsu,Soft,No,TRUE,TRUE,TRUE,1,0,0,0,0,TRUE,9.9,FALSE
2020/4/30,9,Shoyu,Medium,Little,FALSE,FALSE,TRUE,1,0,0,0,0,FALSE,9.9,FALSE
2020/4/30,10,Shio,Firm,Lot,TRUE,TRUE,TRUE,5,1,1,1,1,TRUE,14.9,FALSE
2020/4/30,11,Tonkotsu,Soft,Little,TRUE,TRUE,TRUE,1,0,1,0,0,TRUE,10.9,TRUE
2020/4/30,12,Tonkotsu,Medium,No,TRUE,TRUE,TRUE,0,1,1,0,0,TRUE,11.9,FALSE
2020/5/1,1,Tonkotsu,Medium,Lot,TRUE,TRUE,TRUE,5,1,1,1,2,FALSE,16.9,FALSE
2020/5/1,2,Shoyu,Medium,Little,TRUE,TRUE,TRUE,3,1,1,1,2,FALSE,16.9,FALSE
2020/5/1,3,Shoyu,Medium,Little,TRUE,TRUE,TRUE,3,1,1,1,2,FALSE,16.9,TRUE
2020/5/6,1,Shoyu,Medium,Little,TRUE,TRUE,TRUE,3,1,1,1,1,FALSE,14.9,FALSE
2020/5/6,2,Shoyu,Medium,Little,TRUE,TRUE,TRUE,1,0,0,0,0,TRUE,9.9,FALSE
2020/5/11,1,Shoyu,Medium,Lot,FALSE,FALSE,FALSE,1,0,4,0,0,TRUE,13.9,FALSE
2020/5/11,2,Tonkotsu,Medium,No,FALSE,TRUE,TRUE,4,2,1,0,1,FALSE,14.9,FALSE
2020/5/11,3,Tonkotsu,Medium,Little,FALSE,TRUE,TRUE,0,0,0,0,1,FALSE,11.9,FALSE
2020/5/11,4,Tonkotsu,Soft,Lot,TRUE,FALSE,TRUE,2,0,1,2,0,TRUE,12.9,FALSE
2020/5/11,5,Shoyu,Medium,Little,TRUE,FALSE,TRUE,1,1,1,0,0,TRUE,11.9,FALSE
2020/5/15,1,Tonkotsu,Medium,Lot,TRUE,TRUE,TRUE,2,0,0,0,0,TRUE,9.9,FALSE
2020/5/15,2,Tonkotsu,Medium,Lot,TRUE,TRUE,FALSE,5,0,0,2,0,FALSE,11.9,FALSE
2020/5/16,1,Shoyu,Firm,Little,TRUE,TRUE,TRUE,1,0,0,0,0,TRUE,9.9,FALSE
2020/5/16,2,Tonkotsu,Soft,No,TRUE,TRUE,TRUE,1,1,1,2,0,FALSE,13.9,TRUE
2020/5/16,3,Shoyu,Medium,Lot,TRUE,TRUE,FALSE,2,0,0,3,1,FALSE,14.9,FALSE
2020/5/17,1,Shoyu,Medium,Lot,TRUE,TRUE,FALSE,2,0,0,3,1,FALSE,14.9,FALSE
2020/5/17,2,Shoyu,Medium,Lot,TRUE,TRUE,FALSE,2,0,0,3,1,FALSE,14.9,FALSE
2020/5/17,3,Shoyu,Medium,Little,TRUE,FALSE,TRUE,5,2,1,0,0,FALSE,12.9,TRUE
2020/5/17,4,Tonkotsu,Medium,Little,FALSE,FALSE,TRUE,1,1,3,0,0,TRUE,13.9,TRUE
2020/5/17,5,Shio,Soft,Little,FALSE,FALSE,FALSE,2,0,0,0,0,TRUE,9.9,TRUE
2020/5/17,6,Tonkotsu,Medium,No,FALSE,TRUE,TRUE,2,0,1,0,2,TRUE,14.9,TRUE
2020/5/17,7,Shoyu,Soft,No,TRUE,FALSE,FALSE,4,0,1,5,0,FALSE,15.9,TRUE
2020/5/20,1,Tonkotsu,Firm,Little,FALSE,TRUE,TRUE,2,1,1,0,1,FALSE,13.9,FALSE
2020/5/20,2,Shio,Medium,Little,FALSE,FALSE,TRUE,3,0,7,0,0,TRUE,16.9,FALSE
2020/5/22,1,Shoyu,Soft,Lot,TRUE,TRUE,TRUE,1,0,1,0,0,TRUE,10.9,FALSE
2020/5/22,2,Tonkotsu,Medium,Little,TRUE,TRUE,TRUE,1,0,1,0,0,TRUE,10.9,FALSE
2020/5/22,3,Shoyu,Soft,Little,FALSE,TRUE,TRUE,1,0,3,0,0,TRUE,12.9,TRUE
2020/5/22,4,Tonkotsu,Medium,Lot,TRUE,TRUE,TRUE,1,0,0,0,0,TRUE,9.9,TRUE
2020/5/22,5,Shoyu,Firm,Little,FALSE,FALSE,FALSE,5,0,1,0,0,FALSE,10.9,TRUE
2020/5/23,1,Shoyu,Medium,No,TRUE,TRUE,TRUE,1,1,1,1,0,TRUE,12.9,TRUE
2020/5/23,2,Shoyu,Medium,No,FALSE,TRUE,FALSE,2,0,1,0,1,TRUE,12.9,FALSE
2020/5/27,1,Shoyu,Medium,Little,TRUE,TRUE,TRUE,2,0,0,0,1,TRUE,11.9,FALSE
2020/5/27,2,Shoyu,Medium,Little,TRUE,FALSE,TRUE,2,1,1,1,0,TRUE,12.9,FALSE
2020/5/27,3,Shoyu,Medium,Lot,FALSE,TRUE,FALSE,2,0,2,0,0,TRUE,11.9,FALSE
2020/5/27,4,Tonkotsu,Firm,Little,TRUE,FALSE,FALSE,1,0,1,1,0,TRUE,11.9,FALSE
